name,change,chair
委員長 田瑢源,전용원,1
金洪信委員,김홍신,0
朴是均委員,박시균,0
孫希姃委員,손희정,0
沈在哲委員,심재철,0
尹汝雋委員,윤여준,0
李源炯委員,이원형,0
高珍富委員,고진부,0
金明燮委員,김명섭,0
金聖順委員,김성순,0
金泰弘委員,김태홍,0
李鍾杰委員,이종걸,0
崔榮熙委員,최영희,0
曺喜旭委員,조희욱,0
委員長代理 朴是均,박시균,1
金明燮委員,김명섭,0
金洪信委員,김홍신,0
李源炯委員,이원형,0
委員長代理 金明燮,김명섭,1
委員長代理 金泰弘,김태홍,1
沈在哲委員,심재철,0
金聖順委員,김성순,0
金泰弘委員,김태홍,0
李鍾杰委員,이종걸,0
小委員長 李源炯,이원형,1
金景梓委員,김경재,0
小委員長 金洪信,김홍신,1
小委員長 金泰弘,김태홍,1
元喆喜委員,원철희,0
辛基南委員,신기남,0
金泰弘議員,김태홍,0
金燦于委員,김찬우,0
委員長代理 金泰弘,김태홍,1
柳在乾議員,유재건,0
崔榮熙 議員,최영희,0
金洪信議員,김홍신,0
崔榮熙議員,최영희,0
尹汝雋議員,윤여준,0
小委員長 金泰弘,김태홍,1
金明燮 議員,김명섭,0
金燦于委員,김찬우,0
金洪信議員,김홍신,0
沈在哲議員,심재철,0
金明燮議員,김명섭,0
朴是均議員,박시균,0
小委員長 尹汝雋,윤여준,1
金花中委員,김화중,0
金泰弘議員,김태홍,0
金聖順 委員,김성순,0
沈在哲 委員,심재철,0
鄭範九議員,정범구,0
委員長代理 尹汝雋,윤여준,1
委員長代理 金燦于,김찬우,1
小委員長 朴是均,박시균,1
鄭在文 議員,정재문,0
金洪信 委員,김홍신,0
金聖順 委員,김성순,0
朴是均 委員,박시균,0
孫希姃 委員,손희정,0
李源炯 委員,이원형,0
金泰弘 委員,김태홍,0
金泰弘 議員,김태홍,0
金燦于 委員,김찬우,0
崔榮熙 委員,최영희,0
金洪信 議員,김홍신,0
高珍富 委員,고진부,0
沈在哲 委員,심재철,0
金明燮 委員,김명섭,0
尹汝雋 委員,윤여준,0
金聖順 議員,김성순,0
沈在哲 議員,심재철,0
孫希姃 議員,손희정,0
金明燮 議員,김명섭,0
李源炯 議員,이원형,0
林仁培 議員,임인배,0
李相洙 委員,이상수,0
朴赫圭 委員,박혁규,0
委員長代理 李源炯,이원형,1
李仁濟 委員,이인제,0
朴是均 議員,박시균,0
小委員長代理 李源炯,이원형,1
위원장 이석현,이석현,0
이기우 위원,이기우,0
강기정 위원,강기정,0
김선미 위원,김선미,0
김춘진 위원,김춘진,0
문병호 위원,문병호,0
유시민 위원,유시민,0
유필우 위원,유필우,0
이상락 위원,이상락,0
장향숙 위원,장향숙,0
고경화 위원,고경화,0
박창달 위원,박창달,0
안명옥 위원,안명옥,0
李康斗 委員,이강두,0
전재희 위원,전재희,0
정형근 위원,정형근,0
정화원 위원,정화원,0
현애자 위원,현애자,0
金鍾仁 委員,김종인,0
金德龍 委員,김덕룡,0
소위원장 정형근,정형근,1
위원장대리 고경화,고경화,1
위원장대리 이기우,이기우,1
金鍾仁 委員,김종인,0
곽성문 위원,곽성문,0
전제희 위원,전제희,0
장향숙 의원,장향숙,0
양승조 의원,양승조,0
유시민 의원,유시민,0
이인기 의원,이인기,0
안명옥 의원,안명옥,0
정화원 의원,정화원,0
고경화 의원,고경화,0
"최동민 방청석에서 - 저희도 상임위에서 




하는 공청회를 가 봤는데 이렇게 플로어에 




기회를 준 적은 없었던 것 같습니다. 열린 국회를 운영해 주시는 위원장님께 고맙다는 말씀을 드리고요.",NA,0
